Draw Date,Winning Numbers,Red Ball,Multiplier
04/14/2018,17 19 26 61 62,15,2
04/18/2018,9 10 12 17 23,9,2
04/21/2018,40 50 54 62 69,19,2
04/25/2018,17 18 39 56 64,12,3
04/28/2018,20 22 28 45 50,8,5
05/02/2018,5 14 31 40 50,6,2
05/05/2018,14 29 36 57 61,17,4
05/09/2018,11 16 38 50 69,19,2
05/12/2018,22 42 45 55 56,14,3
05/16/2018,17 19 21 22 51,19,2
05/19/2018,3 6 9 17 56,25,3
05/23/2018,20 54 56 61 64,7,4
05/26/2018,1 21 31 45 49,21,2
05/30/2018,17 23 26 46 68,20,2
06/02/2018,23 25 37 44 64,7,4
06/06/2018,23 28 41 53 56,14,3
06/09/2018,6 10 15 25 36,14,3
06/13/2018,13 20 38 45 55,1,2
06/16/2018,9 45 57 58 65,9,2
06/20/2018,4 14 23 27 56,13,2
06/23/2018,16 29 43 45 56,25,2
06/27/2018,7 28 37 62 63,15,2
06/30/2018,3 9 20 42 61,24,2
07/04/2018,4 7 15 41 44,10,2
07/07/2018,1 10 43 45 64,22,3
07/11/2018,19 21 27 46 47,7,4
07/14/2018,22 41 42 49 67,11,3
07/18/2018,1 10 27 28 36,12,2
07/21/2018,9 23 56 58 68,1,2
07/25/2018,2 18 41 44 64,26,2
07/28/2018,22 27 46 56 65,13,2
08/01/2018,5 22 32 38 58,26,2
08/04/2018,3 11 38 44 58,2,4
08/08/2018,10 21 30 43 63,17,2
08/11/2018,5 43 56 62 68,24,2
08/15/2018,12 15 28 47 48,16,2
08/18/2018,24 34 52 61 67,16,3
08/22/2018,1 7 45 47 69,13,2
08/25/2018,20 25 54 57 63,8,2
08/29/2018,25 41 53 57 67,12,2
09/01/2018,11 54 55 61 66,9,3
09/05/2018,6 15 50 59 60,13,2
09/08/2018,3 13 20 32 33,21,3
09/12/2018,6 28 48 63 64,24,2
09/15/2018,2 18 19 24 34,3,3
09/19/2018,4 39 48 50 51,11,3
09/22/2018,24 61 63 64 69,18,5
09/26/2018,1 2 7 30 50,8,5
09/29/2018,9 17 34 59 64,22,2
10/03/2018,41 53 59 63 66,3,3
10/06/2018,1 22 27 53 67,15,3
10/10/2018,8 23 27 42 60,7,3
10/13/2018,11 14 32 43 65,15,3
10/17/2018,3 57 64 68 69,15,3
10/20/2018,16 54 57 62 69,23,2
10/24/2018,3 21 45 53 56,22,2
10/27/2018,8 12 13 19 27,4,3
10/31/2018,7 25 39 40 47,20,3
11/03/2018,15 21 24 32 65,11,3
11/07/2018,26 28 34 42 50,25,2
11/10/2018,5 29 34 53 57,24,2
